customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,0,-0.43991649313097614,1,0,-1.284112254962515,0,1,0,0,2,0,0,0,0,0,1,2,-1.1603229160349193,2505,0
5575-GNVDE,1,-0.43991649313097614,0,0,0.06312093469909826,1,0,0,2,0,2,0,0,0,1,0,3,-0.2596289419448806,1466,0
3668-QPYBK,1,-0.43991649313097614,0,0,-1.243287006790951,1,0,0,2,2,0,0,0,0,0,1,3,-0.3626603559551803,157,1
7795-CFOCW,1,-0.43991649313097614,0,0,0.5121986645863027,0,1,0,2,0,2,2,0,0,1,0,0,-0.7465354629935549,1400,0
9237-HQITU,0,-0.43991649313097614,0,0,-1.243287006790951,1,0,1,0,0,0,0,0,0,0,1,2,0.19736523310080326,925,1
9305-CDSKC,0,-0.43991649313097614,0,0,-0.9983355177615667,1,2,1,0,0,2,0,2,2,0,1,2,1.1595456961969886,6103,1
1452-KIOVK,1,-0.43991649313097614,0,1,-0.4267820433596702,1,2,1,0,2,0,0,2,0,0,1,1,0.8089065291619363,1550,0
6713-OKOMC,0,-0.43991649313097614,0,0,-0.9166850214184387,0,1,0,2,0,0,0,0,0,0,0,3,-1.1636465100352518,2609,0
7892-POOKP,0,-0.43991649313097614,1,0,-0.18183055433028597,1,2,1,0,0,2,2,2,2,0,1,2,1.330710787214099,2646,1
6388-TABGU,1,-0.43991649313097614,0,1,1.2062278835028912,1,0,0,2,2,0,0,0,0,1,0,0,-0.28621769394753876,3022,0
9763-GRSKD,1,-0.43991649313097614,1,1,-0.7942092769037465,1,0,0,2,0,0,0,0,0,0,1,3,-0.4922805219681379,4823,0
7469-LKBCI,1,-0.43991649313097614,0,0,-0.6717335323890544,1,0,2,1,1,1,1,1,1,2,0,1,-1.5225946620711341,2836,0
8091-TTVAX,1,-0.43991649313097614,1,0,1.0429268908166351,1,2,1,0,0,2,0,2,2,1,0,1,1.182810854199314,4693,0
0280-XJGEX,1,-0.43991649313097614,0,0,0.6754996572725588,1,2,1,0,2,2,0,2,2,0,1,0,1.2941512532104444,4265,1
5129-JLPIS,1,-0.43991649313097614,0,0,-0.30430629884497806,1,0,1,2,0,2,2,2,2,0,1,2,1.3539759452164248,2337,0
3655-SNQYZ,0,-0.43991649313097614,1,1,1.4920046207038395,1,2,1,2,2,2,2,2,2,2,0,1,1.611554480242174,5958,0
8191-XWSZG,0,-0.43991649313097614,0,0,0.7979754017872509,1,0,2,1,1,1,1,1,1,1,0,3,-1.4660935640654862,46,0
9959-WOFKT,1,-0.43991649313097614,0,1,1.5736551170469677,1,2,1,2,0,2,0,2,2,2,0,0,1.393859073220412,5703,0
4190-MFLUW,0,-0.43991649313097614,1,1,-0.9166850214184387,1,0,0,0,0,2,2,0,0,0,0,1,-0.31779183695069496,4416,1
4183-MYFRB,0,-0.43991649313097614,0,0,-0.4676072915312342,1,0,1,0,2,2,0,0,2,0,1,2,0.8404806721650927,1433,0
8779-QRDMV,1,2.273158691738958,0,0,-1.284112254962515,0,1,0,0,0,2,0,0,2,0,1,2,-0.8346107040023594,3340,1
1680-VDCWW,1,-0.43991649313097614,1,0,-0.8350345250753105,1,0,2,1,1,1,1,1,1,1,0,0,-1.4943441130683104,1651,0
1066-JKSGK,1,-0.43991649313097614,0,0,-1.284112254962515,1,0,2,1,1,1,1,1,1,0,0,3,-1.4827115340671475,1609,1
3638-WEABW,0,-0.43991649313097614,1,0,1.0429268908166351,1,2,0,0,2,0,2,0,0,2,1,1,-0.1615829189350795,3041,0
6322-HRPFA,1,-0.43991649313097614,1,1,0.6754996572725588,1,0,0,2,2,0,2,0,0,0,0,1,-0.17155370093607614,2567,0
6865-JZNKO,0,-0.43991649313097614,0,0,-0.10018005798715789,1,0,0,2,2,0,0,0,0,0,1,0,-0.31446824295036285,959,0
6467-CHFZW,1,-0.43991649313097614,1,1,0.5938491609294307,1,2,1,0,2,0,0,2,2,0,1,2,1.1495749141959914,4019,1
8665-UTDHZ,1,-0.43991649313097614,1,1,-1.284112254962515,0,1,0,0,2,0,0,0,0,0,0,2,-1.1486903370337564,2592,1
5248-YGIJN,1,-0.43991649313097614,1,0,1.6144803652185316,1,2,0,2,2,2,2,2,2,2,1,1,0.8471278601657574,5135,0
8773-HHUOZ,0,-0.43991649313097614,0,1,-0.6309082842174903,1,0,0,0,0,0,0,2,2,0,1,3,-0.0020504069191315333,184,1
3841-NFECX,0,2.273158691738958,1,0,1.5736551170469677,1,2,1,2,2,2,2,0,0,2,1,1,1.0498670941860242,5354,0
4929-XIHVW,1,2.273158691738958,1,0,-1.243287006790951,1,0,1,0,0,2,0,2,2,0,1,1,1.0216165451832002,1360,0
6827-IEAUQ,0,-0.43991649313097614,1,1,-0.22265580250185,1,0,0,2,2,2,2,0,0,1,0,3,0.046141706085686136,1449,0
7310-EGVHZ,1,-0.43991649313097614,0,0,-1.284112254962515,1,0,2,1,1,1,1,1,1,0,0,0,-1.481049737066981,1610,0
3413-BMNZE,1,2.273158691738958,0,0,-1.284112254962515,1,0,0,0,0,0,0,0,0,0,0,0,-0.6484894399837535,3815,0
6234-RAAPL,0,-0.43991649313097614,1,1,1.6144803652185316,1,2,1,2,2,0,2,2,0,2,0,0,1.1678546811978192,5643,0
6047-YHPVI,1,-0.43991649313097614,0,0,-1.1208112622762587,1,0,1,0,0,0,0,0,0,0,1,2,0.16412929309748078,2742,1
